SuburbName,ZipCodeNumber,StateCode
EASTERN SUBURBS MC,1323,NSW
EASTERN SUBURBS MC,1324,NSW
EASTERN SUBURBS MC,1325,NSW
EASTERN SUBURBS MC,1327,NSW
EASTERN SUBURBS MC,1328,NSW
EASTERN SUBURBS MC,1330,NSW
EASTERN SUBURBS MC,1331,NSW
EASTERN SUBURBS MC,1332,NSW
EASTERN SUBURBS MC,1333,NSW
EASTERN SUBURBS MC,1334,NSW
POTTS POINT,1335,NSW
KINGS CROSS,1340,NSW
WOOLLAHRA,1350,NSW
BONDI JUNCTION,1355,NSW
DOUBLE BAY,1360,NSW
EASTERN SUBURBS MC,1391,NSW
BROADWAY,1401,NSW
SOUTHERN SUBURBS MC,1416,NSW
SOUTHERN SUBURBS MC,1419,NSW
STRAWBERRY HILLS,1420,NSW
STRAWBERRY HILLS,1421,NSW
STRAWBERRY HILLS,1423,NSW
STRAWBERRY HILLS,1424,NSW
STRAWBERRY HILLS,1426,NSW
STRAWBERRY HILLS,1427,NSW
STRAWBERRY HILLS,1429,NSW
EVELEIGH,1430,NSW
ALEXANDRIA,1435,NSW
WATERLOO,1440,NSW
ROSEBERY,1445,NSW
CAMPERDOWN,1450,NSW
BOTANY,1455,NSW
MASCOT,1460,NSW
KENSINGTON,1465,NSW
UNSW SYDNEY,1466,NSW
DRUMMOYNE,1470,NSW
MARRICKVILLE,1475,NSW
KINGSGROVE,1480,NSW
KINGSGROVE DC,1484,NSW
KOGARAH,1485,NSW
MIRANDA,1490,NSW
HURSTVILLE,1493,NSW
SUTHERLAND,1499,NSW
WEST CHATSWOOD,1515,NSW
NORTHBRIDGE,1560,NSW
MILSONS POINT,1565,NSW
ARTARMON,1570,NSW
CROWS NEST,1582,NSW
CROWS NEST,1585,NSW
ST LEONARDS,1590,NSW
LANE COVE,1595,NSW
LANE COVE,1597,NSW
LANE COVE DC,1602,NSW
HORNSBY,1630,NSW
HORNSBY WESTFIELD,1635,NSW
FRENCHS FOREST,1639,NSW
FRENCHS FOREST,1640,NSW
MANLY,1655,NSW
MONA VALE,1660,NSW
NORTH RYDE BC,1670,NSW
GLADESVILLE,1675,NSW
RYDE,1680,NSW
WEST RYDE,1685,NSW
NORTHERN SUBURBS MC,1690,NSW
NORTHERN SUBURBS MC,1691,NSW
NORTHERN SUBURBS MC,1692,NSW
NORTHERN SUBURBS MC,1693,NSW
NORTHERN SUBURBS MC,1694,NSW
NORTHERN SUBURBS MC,1695,NSW
NORTHERN SUBURBS MC,1696,NSW
NORTHERN SUBURBS MC,1697,NSW
NORTHERN SUBURBS MC,1698,NSW
NORTHERN SUBURBS MC,1699,NSW
ERMINGTON,1700,NSW
RYDALMERE BC,1701,NSW
EPPING,1710,NSW
PENNANT HILLS,1715,NSW
SEVEN HILLS,1730,NSW
PARRAMATTA,1741,NSW
NORTH PARRAMATTA,1750,NSW
BAULKHAM HILLS,1755,NSW
CASTLE HILL,1765,NSW
PENNANT HILLS,1771,NSW
SEVEN HILLS MC,1781,NSW
ST MARYS,1790,NSW
PENRITH SOUTH DC,1797,NSW
ASHFIELD,1800,NSW
BURWOOD,1805,NSW
SILVERWATER,1811,NSW
LIDCOMBE,1825,NSW
LIDCOMBE,1826,NSW
GRANVILLE,1830,NSW
GRANVILLE,1831,NSW
AUBURN,1835,NSW
WETHERILL PARK DC,1851,NSW
FAIRFIELD,1860,NSW
MOOREBANK,1875,NSW
BANKSTOWN,1885,NSW
INGLEBURN,1890,NSW
MILPERRA,1891,NSW
LEIGHTONFIELD MC,1900,NSW
LEIGHTONFIELD MC,1902,NSW
BARANGAROO,2000,NSW
DAWES POINT,2000,NSW
HAYMARKET,2000,NSW
MILLERS POINT,2000,NSW
PARLIAMENT HOUSE,2000,NSW
SYDNEY,2000,NSW
SYDNEY SOUTH,2000,NSW
THE ROCKS,2000,NSW
SYDNEY,2001,NSW
WORLD SQUARE,2002,NSW
ALEXANDRIA MC,2004,NSW
EASTERN SUBURBS MC,2004,NSW
THE UNIVERSITY OF SYDNEY,2006,NSW
BROADWAY,2007,NSW
ULTIMO,2007,NSW
CHIPPENDALE,2008,NSW
DARLINGTON,2008,NSW
PYRMONT,2009,NSW
DARLINGHURST,2010,NSW
SURRY HILLS,2010,NSW
STRAWBERRY HILLS,2012,NSW
ALEXANDRIA,2015,NSW
BEACONSFIELD,2015,NSW
EVELEIGH,2015,NSW
WATERLOO,2017,NSW
ZETLAND,2017,NSW
EASTLAKES,2018,NSW
ROSEBERY,2018,NSW
MASCOT,2020,NSW
SYDNEY DOMESTIC AIRPORT,2020,NSW
SYDNEY INTERNATIONAL AIRPORT,2020,NSW
CENTENNIAL PARK,2021,NSW
MOORE PARK,2021,NSW
PADDINGTON,2021,NSW
BONDI JUNCTION,2022,NSW
QUEENS PARK,2022,NSW
BELLEVUE HILL,2023,NSW
BRONTE,2024,NSW
WAVERLEY,2024,NSW
WOOLLAHRA,2025,NSW
BONDI,2026,NSW
BONDI BEACH,2026,NSW
NORTH BONDI,2026,NSW
TAMARAMA,2026,NSW
DARLING POINT,2027,NSW
EDGECLIFF,2027,NSW
HMAS RUSHCUTTERS,2027,NSW
POINT PIPER,2027,NSW
DOUBLE BAY,2028,NSW
ROSE BAY,2029,NSW
DOVER HEIGHTS,2030,NSW
HMAS WATSON,2030,NSW
ROSE BAY NORTH,2030,NSW
VAUCLUSE,2030,NSW
WATSONS BAY,2030,NSW
CLOVELLY,2031,NSW
CLOVELLY WEST,2031,NSW
RANDWICK,2031,NSW
ST PAULS,2031,NSW
DACEYVILLE,2032,NSW
KINGSFORD,2032,NSW
KENSINGTON,2033,NSW
COOGEE,2034,NSW
SOUTH COOGEE,2034,NSW
MAROUBRA,2035,NSW
MAROUBRA SOUTH,2035,NSW
PAGEWOOD,2035,NSW
FOREST LODGE,2037,NSW
GLEBE,2037,NSW
ANNANDALE,2038,NSW
LEICHHARDT,2040,NSW
LILYFIELD,2040,NSW
BALMAIN,2041,NSW
BALMAIN EAST,2041,NSW
BIRCHGROVE,2041,NSW
ENMORE,2042,NSW
NEWTOWN,2042,NSW
ERSKINEVILLE,2043,NSW
ST PETERS,2044,NSW
SYDENHAM,2044,NSW
TEMPE,2044,NSW
HABERFIELD,2045,NSW
ABBOTSFORD,2046,NSW
CANADA BAY,2046,NSW
CHISWICK,2046,NSW
FIVE DOCK,2046,NSW
RODD POINT,2046,NSW
RUSSELL LEA,2046,NSW
WAREEMBA,2046,NSW
DRUMMOYNE,2047,NSW
STANMORE,2048,NSW
WESTGATE,2048,NSW
LEWISHAM,2049,NSW
PETERSHAM,2049,NSW
PETERSHAM NORTH,2049,NSW
CAMPERDOWN,2050,NSW
MISSENDEN ROAD,2050,NSW
UNSW SYDNEY,2052,NSW
NORTH SYDNEY,2055,NSW
CHATSWOOD,2057,NSW
NORTHERN SUBURBS MC,2058,NSW
NORTH SYDNEY,2059,NSW
KIRRIBILLI,2061,NSW
MILSONS POINT,2061,NSW
CAMMERAY,2062,NSW
ARTARMON,2064,NSW
CROWS NEST,2065,NSW
GREENWICH,2065,NSW
NAREMBURN,2065,NSW
ROYAL NORTH SHORE HOSPITAL,2065,NSW
ST LEONARDS,2065,NSW
WOLLSTONECRAFT,2065,NSW
CHATSWOOD,2067,NSW
CHATSWOOD WEST,2067,NSW
CASTLECRAG,2068,NSW
MIDDLE COVE,2068,NSW
NORTH WILLOUGHBY,2068,NSW
WILLOUGHBY,2068,NSW
WILLOUGHBY EAST,2068,NSW
WILLOUGHBY NORTH,2068,NSW
CASTLE COVE,2069,NSW
ROSEVILLE,2069,NSW
ROSEVILLE CHASE,2069,NSW
EAST LINDFIELD,2070,NSW
LINDFIELD,2070,NSW
LINDFIELD WEST,2070,NSW
EAST KILLARA,2071,NSW
KILLARA,2071,NSW
GORDON,2072,NSW
PYMBLE,2073,NSW
WEST PYMBLE,2073,NSW
NORTH TURRAMURRA,2074,NSW
SOUTH TURRAMURRA,2074,NSW
TURRAMURRA,2074,NSW
WARRAWEE,2074,NSW
ST IVES,2075,NSW
ST IVES CHASE,2075,NSW
NORMANHURST,2076,NSW
NORTH WAHROONGA,2076,NSW
WAHROONGA,2076,NSW
ASQUITH,2077,NSW
HORNSBY,2077,NSW
HORNSBY HEIGHTS,2077,NSW
WAITARA,2077,NSW
MOUNT COLAH,2079,NSW
MOUNT KURING-GAI,2080,NSW
BEROWRA CREEK,2082,NSW
BEROWRA HEIGHTS,2082,NSW
BEROWRA WATERS,2082,NSW
BAR POINT,2083,NSW
BROOKLYN,2083,NSW
CHEERO POINT,2083,NSW
COGRA BAY,2083,NSW
DANGAR ISLAND,2083,NSW
MILSONS PASSAGE,2083,NSW
MOONEY MOONEY,2083,NSW
BELROSE,2085,NSW
BELROSE WEST,2085,NSW
DAVIDSON,2085,NSW
FRENCHS FOREST,2086,NSW
FRENCHS FOREST EAST,2086,NSW
MOSMAN,2088,NSW
SPIT JUNCTION,2088,NSW
KURRABA POINT,2089,NSW
NEUTRAL BAY,2089,NSW
NEUTRAL BAY JUNCTION,2089,NSW
CREMORNE,2090,NSW
CREMORNE JUNCTION,2090,NSW
CREMORNE POINT,2090,NSW
HMAS PENGUIN,2091,NSW
SEAFORTH,2092,NSW
BALGOWLAH,2093,NSW
BALGOWLAH HEIGHTS,2093,NSW
CLONTARF,2093,NSW
MANLY VALE,2093,NSW
NORTH BALGOWLAH,2093,NSW
FAIRLIGHT,2094,NSW
MANLY,2095,NSW
MANLY EAST,2095,NSW
CURL CURL,2096,NSW
FRESHWATER,2096,NSW
QUEENSCLIFF,2096,NSW
COLLAROY,2097,NSW
COLLAROY BEACH,2097,NSW
COLLAROY PLATEAU,2097,NSW
WHEELER HEIGHTS,2097,NSW
CROMER,2099,NSW
DEE WHY,2099,NSW
NARRAWEENA,2099,NSW
NORTH CURL CURL,2099,NSW
ALLAMBIE HEIGHTS,2100,NSW
BEACON HILL,2100,NSW
BROOKVALE,2100,NSW
NORTH MANLY,2100,NSW
OXFORD FALLS,2100,NSW
WARRINGAH MALL,2100,NSW
ELANORA HEIGHTS,2101,NSW
INGLESIDE,2101,NSW
NARRABEEN,2101,NSW
NORTH NARRABEEN,2101,NSW
MONA VALE,2103,NSW
BAYVIEW,2104,NSW
NEWPORT,2106,NSW
NEWPORT BEACH,2106,NSW
AVALON BEACH,2107,NSW
BILGOLA BEACH,2107,NSW
BILGOLA PLATEAU,2107,NSW
CLAREVILLE,2107,NSW
WHALE BEACH,2107,NSW
MACQUARIE UNIVERSITY,2109,NSW
HUNTERS HILL,2110,NSW
WOOLWICH,2110,NSW
BORONIA PARK,2111,NSW
GLADESVILLE,2111,NSW
HENLEY,2111,NSW
HUNTLEYS COVE,2111,NSW
HUNTLEYS POINT,2111,NSW
MONASH PARK,2111,NSW
TENNYSON POINT,2111,NSW
DENISTONE EAST,2112,NSW
PUTNEY,2112,NSW
RYDE,2112,NSW
BLENHEIM ROAD,2113,NSW
EAST RYDE,2113,NSW
MACQUARIE CENTRE,2113,NSW
MACQUARIE PARK,2113,NSW
